gold,toxicity,text,pred
Sexiste,0.03875561,"- Homme : Chérie, le lave-vaisselle est en panne, je l'amène chez de médecin. - Femme : Mais pourquoi tu voudrais emmener le lave-vaisselle chez le médecin ?! - Homme : Ne pose pas de question, et prends ton carnet de santé. #blague #humour",OUI
Sexiste,0.03781283,"aujourd'hui j'ai vu à quel point l'amitié entre fille pouvait être sincère et vraie, ahah #ironie",OUI
Sexiste,0.036634352,"Exactement, c'est trop ça #LRT #Ironie :p (Y'a qu'une femme qui me domine. Ma mère.)",OUI
Sexiste,0.03545588,"Et moi un tuto ménage, maquillage, cuisine bref la femme parfaite quoi",OUI
Sexiste,0.035220183,Je crois que maintenant c'est aux femmes de faire les premiers pas ... comme dans le film ( Cruising Bar 2) la scène entre Beaudoin et Ted (Daniel Parent) au bar #MoiAussi #EtMaintenant,OUI
Sexiste,0.034984488,"Bonjour @Decathlon Pourquoi le Rose serait plus cher que le bleu ? 2 combinaisons ski enfant, même produit, couleur différente. Je demande à la caisse pourquoi 19,99 la turquoise et 24,99 la rose. Réponse : la couleur ! Cc @MarleneSchiappa c’est pas du sexisme ça ? pic.twitter.com/vgUMAxqo7N",OUI
Sexiste,0.034748793,"Non, non @yannBarthès, c avant que les américains disaient Ouah @CatherineDeneuve... Certainement un peu moins à présent.",OUI
Sexiste,0.033806015,"Il fut un temps ou Barbie était la seule fille en plastique, mais ça c'était avant. #Citation #Ironie #Truelife",OUI
Sexiste,0.03357032,"Je n'avais pas twitté sur la robe 👗 d'Aurore Bergé de peur que mon twitt ne soit plus long que la dite robe... 😂 #sachezle #balancetanuisette pic.twitter.com/aXHIn3mkEo,Robe,Visage avec des larmes de joie",OUI
Sexiste,0.032863233,PTDRRRRRR en realité jme defend comme un homme ainsi il sera difficile de trouver un niveau au dessus..,OUI
Sexiste,0.032863233,Heureusement que mes gènes de femme me permettent de faire ça vite et bien #ironie #LT,OUI
Sexiste,0.030741978,Les gars si votre femme elle vous dis soit c'est moi soit c'est la play vous choisissez FIFA 18 ou Fortnite ?,OUI
Sexiste,0.028974265,"Si tu demandes à ta femme de se faire belle pour toi, fait en sorte de te faire beau pour elle. Lorsque tu demandes des choses à ta femme fait en sorte de lui offrir et de lui accorder ce que toi tu demandes, ainsi doit être l'homme avec son épouse.",OUI
Sexiste,0.026617315,Se retrouver avec un groupe entier de fille à une soirée #QueDuBonheur #Ironie,OUI
Sexiste,0.021432023,Quand elle se retrouve enceinte on parle d'accident du travail ?,OUI
Sexiste,0.02072494,#SLT Quelle intérêt de venir quasi à poil? @auroreberge pic.twitter.com/7DhrOWz1Ng,OUI
Sexiste,0.02048268,Ça va passer sa saint Valentin sur dragon Ball fighterZ comme un homme,OUI
Sexiste,0.019351736,C'est la crise du tissu sur Salut les Terriens @auroreberge ? #SLT,OUI
Sexiste,0.018974753,"Excellentes entrevues sur le #MoiAussi et les dérapages des dénonciations qui peuvent survenir alors qu'il n'y a PAS de causes - contrairement à une cause vraie qui doit se régler devant un juge, pas sur Twitter. @rdimasson",OUI
Sexiste,0.01859777,En tant que Malien converti au Camerounisme j'affirme que les camerounais sont les meilleurs et que toute femme qui se respecte doit avoir un camerounais dans sa vie.,OUI
Sexiste,0.016964182,C’est pas la présence d’une femme dans la vie d’un homme qui le rend heureux mais la façon dont elle est présente dans sa vie,OUI
Sexiste,0.01608456,"Quand tu les rencontres,tu réalises tout le sens de cette expression qui dit qu'1e femme courageuse vaut 2 hommes courageux!J’admire et je respecterai tjrs ces amazones qui bravent la pluie,les vents et le soleil pr subvenir aux besoins de leurs familles.Elles st des championnes! pic.twitter.com/0CjneKFUyk",OUI
Sexiste,0.014011159,Qu'Allah accorde aux hommes justes et de valeurs une femme pieuse et respectable. pic.twitter.com/HkBZ1uL0yE,OUI
Sexiste,0.012691722,Wes mais y'a aussi le fait de l'efficacité dans le travail entre une femme enceinte et quelqu'un qui ne les pas aussi,OUI
Sexiste,0.01237757,"Une fois j'ai sauvé une femme de 1 m 58 de la noyade. Elle etait tombé dans son verre d'eau, heureusement je suis intervenu à temps !",OUI
Sexiste,0.010492661,"@VerrierMthlde Mathilde c'est une fille géniale, avec trop d'humour et un beau ... #Ironie",OUI
Sexiste,0.009613037,"Bonjour à tous !!!! Pour bien commencer la journée, ma fille est entrée dans une phase de crises!! Génial #Ironie",OUI
Sexiste,0.009047564,Une femme / En legging / Dans un parking / Ca se réclame #écriture #humour,OUI
Sexiste,0.008921904,"Bonjour et bon Rappel: Nous aimons les fleurs, mais nous voulons un salaire égal, la fin des violences, le droit à une maternité choisie &amp; plein d'autres trucs, en #8mars15h40 pic.twitter.com/EP7OhSVgSk",OUI
Sexiste,0.008859074,"Un homme, c'est celui qui parle à sa femme, qui la rend meilleure, qui la conseille, qui la raisonne, qui lui fait les rappels de Dieu.",OUI
Sexiste,0.0074453913,"Cte fierté de se retrouver sur le #Tumblr de #PayeTaShnek ❤ pic.twitter.com/Xdgl4A7ObN,Cœur rouge en gras",OUI
Sexiste,0.007382561,"Je suis une fille et pourtant ce soir, je LT #FRAESP ! #Ironie J'espère ne pas être la seule à faire semblant ce soir de m'y connaître ;-)",OUI
Sexiste,0.0037226956,"Une femme amoureuse n’ira jamais voir ailleurs malgré les hauts et les bas, elle patientera et se donnera à fond pour arranger ce qu’il ne va pas.",OUI
Sexiste,0.0028116563,"En moyenne, une femme met 26 choses dans sa valise qu'elle n'utilisera jamais.",OUI
Sexiste,0.00029059016,"Chaque fois qu'une femme insulte Mère Nature, un Tampax souffre dans Valérie Pécresse.",OUI
Sexiste,4.8104455e-05,La galère rend l'homme fidèle et la femme infidèle.,OUI
Sexiste,3.779636e-05,"L’homme peut faire la cuisine, nettoyer et aider sa femme, mais les tâches domestiques sont les domaines de la femme en particulier.",OUI
Sexiste,9.203658e-06,Ce tir au but de femme enceinte de Gueida Fofana.,OUI
