gold,toxicity,text,pred
NonSexiste,0.03309893,"Oui, mais dans le mouvement #moiaussi , les médias se sont mis à inclure des gestes qui, à mon avis, relevaient parfois plus de la séduction que de l’agression. Ex : regard insistant http://www.lapresse.ca/actualites/education/201711/28/01-5145135-universite-laval-la-moitie-des-etudiantes-rapportent-des-violences-sexuelles.php https://twitter.com/vincenlair/status/952710896949882881",NO
Sexiste-reportage,0.103494145,"Continuons à communier.... Notre héros national avait des comptes en Suisse, une villa à saint Barth, et n'était pas loin du #balancetonporc... Mais bon communions, rassemblons nous...",NO
Sexiste-reportage,0.12867521,"Les délateurs ou délatrices restaient aussi *anonymes* en général, rappelons-le : ça fait tout de même une grande différence avec tous ses témoignages *signés publiquement*, non ? #balancetonporc #moiaussi",NO
NonSexiste,0.09438288,2017 aura été le passage en 6 mois du #manspreading à #balancetonporc.,NO
Sexiste-reportage,0.37576625,Votre pub est stupide et sexiste ! À quel moment avez vous pu penser que ce serait une bonne idée ??? #LaBoulangère #sexiste #boycott,YES
Sexiste-reportage,0.2667042,"Jsuis dans le TER, le wagon est vide, je suis assise aux places à 4. Un gars arrive et il s’assoit où ??? Face à moi, ses genoux comme les miens . Ça me flingue ça putain y’a de la place de partout #payetashnek",YES
Sexiste-reportage,0.32236105,hey @MrBagelstein nous sommes plus de 2000 femmes brésiliennes à Paris et on n'a pas vraiment aimé votre 'petite blague' sur vos gobelets. qu'avez-vous à dire sur ce sujet ?????? #balancetonporc #balancetonxenophobe,NO
NonSexiste,0.048842013,"#EnsembleContreLeSexisme @laurossignol « nous devons soutenir @MarleneSchiappa , si elle échoue, nous échouons toutes » #sororité",NO
Sexiste-reportage,0.017843807,"Ce qui n'est vraisemblablement pas le cas sur ce #tableau qu'il faut remettre ds un contexte de tps ou le #sexisme et le #racisme n'étaient pas des notions #culturelles, #sociales, #humaines..d'autres #illustrations #contemporaines seraient plus appropriées",NO
Sexiste,0.13561769,La fete des #ramoneurs ... ah non c’est #sexiste,YES
NonSexiste,0.45396814,"INSOMNIES JE TAIME TES TJR LA QUAND JE COMMENCE A 8H DONC REVEIL A 6H30 MAIS TES ABSENTE QUAND CHUI EN VAC ET JDOIS ENCHAINER LES EPISODES ET JDORS A 22H MERCI. 😍 CONNASSE😍😍😍,Visage souriant avec des yeux en forme de cœur,Visage souriant avec des yeux en forme de cœur,Visage souriant avec des yeux en forme de cœur",NO
NonSexiste,0.0068799187,"Inauguration du @Salondelagri avec notre Président de la République @EmmanuelMacron. Touché et fier d'être à ses côtés pour une journée d'échanges avec tous les acteurs du monde agricole! #Enmarche #agriculture #SIA2018 pic.twitter.com/GOFkHGh46f,Vache,Mégaphone",NO
Sexiste,0.00029059016,"Chaque fois qu'une femme insulte Mère Nature, un Tampax souffre dans Valérie Pécresse.",NO
Sexiste-reportage,0.11109332,"Voilà, il faut toujours se battre plus pour avoir le même niveau de reconnaissance qu'un mec qui ne se bat pas. (et là je vais avoir la team ouin le sexisme n'existe pas c'est pas vrai qui devrait débarquer)",NO
NonSexiste,0.011120965,Gilbert Rozon contestera la demande d’action collective contre lui http://www.journaldequebec.com/2018/01/09/gilbert-rozon-ne-veut-pas-verser-des-millions-de-dollars #moiaussi,NO
NonSexiste,0.08320791,"On est déjà « post #MoiAussi » ? Déjà? 😳 Pourquoi on y reste pas quelques mois de plus? 🤔 @LaClermont,Visage rougissant,Visage songeur",NO
Sexiste-reportage,0.5716857,Et !? Vous les préférez a poile ! Et après vous tweetez #balancetonporc ! Bande de schizophrènes,YES
NonSexiste,0.036634352,23% de #badbuzz de 2017 ont éclaté pour les motifs de defense contre le sexisme! pic.twitter.com/iD3xFQrAQq,NO
NonSexiste,0.08083374,Retour sur le traitement médiatique de #BalanceTonPorc : http://www.acrimed.org/BalanceTonPorc-la-liberation-de-la-parole-sous pic.twitter.com/RGhyM3KHCx,NO
NonSexiste,0.32074678,j’me surprend à sourire comme une conne devant mon tel tellement il est beau,NO
NonSexiste,0.018723432,"la Chancelière allemande, Angela Merkel, a adressé ses condoléances au Président #algérie -n Je voudrais exprimer mes sincères condoléances à vous et à votre pays, et mes condoléances les plus sincères sont à cette heure aux victimes et à leurs familles #CrashAvionBoufarik pic.twitter.com/BF0cePD5gY",NO
Sexiste-reportage,0.31963667,#BalanceTonPorc c aussi le directeur de recherche en mèdecine qui ne parle que de sexe à l'étudiante à chaque rendez vous pour discuter de l'avancement de sa thèse,YES
NonSexiste,0.32074678,Est-ce que les Vegans balancent leurs porcs ? #BalanceTonPorc,NO
NonSexiste,0.29039988,Gros problème de digestion à cause des chipolatas de la cantine !!! Ne les prenez pas !! #BalanceTonPorc,YES
NonSexiste,0.1693855,"Alors que l'égalité - 🚺 semble être la priorité #LREM, &amp; le respect des femmes celle de ce #GVT, le choix de ce porte-parole est un geste fort... Le #sexisme #EnMarche... 🚹 @GG_RMC https://twitter.com/GilbertCollard/status/949661673044004864,Symbole Femmes,Symbole Hommes,Cœur brisé",YES
Sexiste-reportage,0.23812068,"Laurence Rossignol a jugé que les faits d'accusation de viol contre Gérald Darmanin étaient embarrassants pour le gouvernement. Mais @laurossignol n'a pas été embarrassée de le faire au micro de Frédéric HAZIZA accusé d'agression sexuelle 🤔 pic.twitter.com/sWLY6yJ2xh🤔,Visage songeur",NO
NonSexiste,0.11109332,"L'#ironie : au cœur d'une #repentance sur l'#esclavage des noirs, une #femme noire permet l'exaltation de l'esclavage des femmes. #GPA",NO
NonSexiste,0.30514878,c est bien #balancetonporc mais on devrait faire aussi #balancetamytho,NO
Sexiste-reportage,0.11912931,Mais c'est quoi cette pub #chanteclair on est en 1960 ou quoi ???? #sexiste,YES
NonSexiste,0.036634352,Vivement cet aprèm pour mon rdv sur le sexisme,NO
NonSexiste,0.014827953,Il ne s’agit pas pour @EmmanuelMacron et #AngelaMerkel d’imposer aux autres pays européens une politique mais de fixer un cap pour permettre aux citoyens de croire de nouveau en l’#Europe et la refonder,NO
Sexiste-reportage,0.08241652,Ce jeudi 25 janvier se tient la première journée contre le #sexisme Et tout le monde s’en fout @ETLMSF @ActionLogement https://m.youtube.com/watch?v=H5Lr5pyBLN4,NO
NonSexiste,0.17371799,« Marre d'être une femme ». Dans un monde sexiste. Cri du coeur de #PayeTaShnek. http://www.madmoizelle.com/pts-femme-tribune-560241,YES
Sexiste-reportage,0.027677942,#TLMEP Vous n'avez pas invité d'hommes à cette table ou ils ont refusé? #MoiAussi #EtMaintenant http://ici.radio-canada.ca/nouvelle/1078050/lea-clermont-dion-lise-payette-plainte-michel-venne-tlmep,NO
NonSexiste,0.08479069,Nur Suryani Mohamed Taibi termine 32e de son épreuve de tir. Pas mal pour une femme enceinte de 8 mois #jo2012,NO
Sexiste,0.3127066,"quand on participe à une hystérie collective, il ne faut pas dire n'importe quoi #BalanceTonPorc",NO
Sexiste-reportage,0.37694603,#SofiaBoutella 1 des meilleures danseuses du monde pas assez white pour le cishet du @Le_Figaro avec le feu au prépuce #raciste #sexiste https://twitter.com/Annalkiss/status/898498475146477568,YES
NonSexiste,0.30716252,"Avant de lire les âneries de Christine Lagarde qui, rappelons-le, a été condamnée par la justice dans l'affaire... https://fb.me/JcUuLIKI",NO
Sexiste-reportage,0.31132057,"@LNRofficiel @StadeFrance - une seule femme pour filtrer la queue obligatoire pour les nanas ? #absurde &amp, #sexiste #top14 #ASMRCT",YES
NonSexiste,0.1373533,La fille qui qui vend son poney un jour sur deux sur des coups de tête ! Elle est excellente! #Ironie #VielleTatane,NO
NonSexiste,0.5716857,Le petit porcin casher Haziza @frhaz #balancetonporc #Lcp Qu'on lui retire sa carte de presse Israélienne ! Merde quand même !,NO
NonSexiste,0.022021262,"Il n’y a pas que le sexisme. N’oublions pas l’discrimination à l’embauche, le racisme et l’homophobie. C’est seulement en acceptant nos différences que nous parviendront à vivre en paix. #ensemblecontrelesexisme",YES
NonSexiste,0.25462922,"Après #BalanceTonPorc , voici #balancetonmioche ! N'importe quoi. https://twitter.com/vnctmrn/status/969909721179312128",NO
NonSexiste,0.05378982,La violence faite aux handicapés n'est pas toujours perceptible aux yeux du peuple #moiaussi… https://www.instagram.com/p/BeOmGTgFOjj/,NO
Sexiste-reportage,0.41168427,"« Vous m’excitez, ça vous dérange si je me masturbe devant vous ? » Besançon — dans la rue #payetashnek #stopharcelementderue",NO
Sexiste-reportage,0.2667042,#2017 sérieux ?!? Ridicule! #pub #sexiste #shame https://twitter.com/chiennesdegarde/status/890525013505454081,YES
Sexiste-reportage,0.42568782,"La vie d'une femme se résume à un conte de fée. Fée le ménage, Fée la vaisselle, fée à manger, fée le linge et fée pas chier. #IRONIE",NO
NonSexiste,0.050821137,"À #Hollywood, des femmes se mobilisent contre le harcèlement sexuel. Elles ont amassé un fonds 13 M $ - objectif de 15 M $ - destiné à défendre les frais judiciaires tant des femmes que des hommes victimes. #moiaussi. http://www.lefigaro.fr/flash-actu/2018/01/01/97001-20180101FILWWW00113--hollywood-les-femmes-se-mobilisent-contre-le-harcelement-sexuel.php?utm_source=app&amp;utm_medium=sms&amp;utm_campaign=fr.playsoft.lefigarov3 Qu'attend-t-on au Québec?",NO
NonSexiste,0.11479026,"J'ai besoin d'un monde dans lequel je pourrais m'habiller comme je veux, dire ce que je veux et exprimer mes désirs de la façon dont je le souhaite #BalanceTonPorc #honnêté #parité",NO
NonSexiste,0.10609736,"Il a le mouvement #Balancetonporc, nous créons le mouvement avec les mots-clics #Balancetonbanquier #Banlancetondéputé. Partagez la page et invitez vos amis avec le bouton inviter vos amis sur la page. Ensemble, nous vaincrons! :-) #ParadisFiscaux https://www.facebook.com/Mots-clic-Balancetonbanquier-Balancetondéputé-ParadisFiscaux-179751779295088/",NO
Sexiste-reportage,0.6308517,Bite-coin ? Cette rance représentation du patriarcat à tout prix ? HONTEUX !!!! #Sexiste #Facho,YES
Sexiste-reportage,0.11479026,Qd tu vois pour un vol d outillage c est 18 mois ferme pour une dizaine d agression sexuelle idem 18 mois ferme. Je suis rassuré nos boites a outils sont en sécurité pour ce qui est des femmes c est un autre probleme. #balancetonporc http://www.ledauphine.com/vaucluse/2017/04/22/18-mois-ferme-pour-un-vol-d-outillage,NO
NonSexiste,0.050326355,La superbe idée du #tumblr #PayeTaRobe sur l'idée de #PayeTaShnek contre le sexisme ordinaire poke @EmmanuelTZ pic.twitter.com/QDuYquZPHh,NO
NonSexiste,0.15490346,"MADAME JE STAN CATHERINE DENEUVE N'EST PLUS LA🎉🎉🎉,Bombe de table,Bombe de table,Bombe de table",NO
NonSexiste,0.04067813,Signature de la charte par #TFTC @CometEntreprise du collectif #ensemblecontrelesexisme avec 22 autres organisations engagées dans tous les domaines où se niche le #sexisme pic.twitter.com/Hhv6OMVmZ5,NO
Sexiste,0.30502358,"Je milite pour le girlpower, aujourd'hui être femme cest faire aussi bien qu'un homme MDR MDR MDR TU MILITE POUR LA BÊTISE BB",NO
NonSexiste,0.121732734,Après #moiaussi des féministes québécoises lancent #EtMaintenant. On y va bravo !! http://www.lapresse.ca/actualites/201801/14/01-5149988-des-feministes-quebecoises-lancent-et-maintenant.php,NO
Sexiste,0.23198941,"#EnsembleContreLeSexisme les femmes qui parlent de l'égalité F/H, pourquoi placez-vous la Femme avant l'Homme ? Le masculin l'emporte sur le féminin pour le Français. Point. Vouloir modifier la base de tout pour vous sentir supérieures, CA c'est du #sexisme !",YES
NonSexiste,0.08241652,Enfin! Pas trop tôt. #Bretagne: Un élu #FN visé par une plainte après un tweet #sexiste sur Clotilde Courau http://www.20minutes.fr/societe/2171931-20171119-bretagne-elu-fn-vise-plainte-apres-tweet-sexiste-clotilde-courau via @20minutes,NO
NonSexiste,0.049584184,Des féministes québécoises lancent Et Maintenant - Un nouveau mouvement faisant suite à #MoiAussi vient d'être lancé au Québec : il s'intitule Et Maintenant et veut galvaniser les gens de bonne volonté autour de la nécessité de créer un nouvel équilib... http://ow.ly/TdRk50g7Ves,NO
Sexiste-reportage,0.25462922,"#balancetonporc Dédicace à toi qui dit J'ai failli lui mettre une main Qd je passe devant lui, bravo de t'être retenu. #ironie",NO
Sexiste-reportage,0.11181668,"En Suisse, le harcèlement n’est pas pénalement répréhensible... https://buff.ly/2EghYH0 Par Stéphane Riand (réservé aux abonnés) #justice #harcelement #weinstein #buttet #politique #balancetonporc #MoiAussi #balancetatruie #valais #suisse #droit",NO
NonSexiste,0.112540044,"Cela faisait longtemps que nous n'entendions plus parler Christiane Taubira. Et honnêtement, cela ne nous manquait pas.",NO
NonSexiste,0.037105743,"Rectification: Ségolène Royal crée sa propre pompe à subventions vertes, en prévision d’une campagne pour la mairie de Paris. https://twitter.com/limportant_fr/status/983103058958839808",NO
Sexiste-reportage,0.47772613,@jack_lang soutient #WoodyAllen. Et aussi #HarveyWeinstein. Et aussi #romanpolanski . Et aussi #marcDutroux. #BalanceTonPorc #laMamounia #Maroc #pierrebergé #viol #pedophilie #pedophilia #laSolidaritéDesPédos,NO
NonSexiste,0.036634352,"Ce soir c'est le vernissage de la fabuleuse #ExpoTwitter qui transforme les grands Tweets de 2017 en #ObjetsTwittés ! De #Covfefe #BalanceTonPorc à #StrangerThing ou encore #MakeOurPlanetGreatAgain, ils sont tous là ! pic.twitter.com/r4SeytXLEj",NO
NonSexiste,0.07212844,"Qui va lire le dictionnaire amoureux de la politique de Ségolène Royal?: Après son livre Femme debout, qui e.. http://tinyurl.com/c4zvu2",NO
Sexiste-reportage,0.054531995,"Liste des #pub #sexiste de #2017. Comme quoi, il va falloir encore du temps avant d'en arriver à une #égalité... https://buff.ly/2DmPOuq",NO
NonSexiste,0.36043653,"Vous pensez vraiment que jeune et beau gay de 16 ans irait dans le lit d'un vieux gay bien en chair de 50 piges, par pur plaisir ??? #PascalCardonnaGate #pascalcardonna #BALANCETONBABYBEL #BalanceTonPorc #JeremstarGate #Jeremstar #Aqababe #Babybel",NO
NonSexiste,0.7105462,"Je vous en veux pas à vous, je m’en veux à moi d’avoir été assez conne pour vous accordez de l’importance et avoir cru en votre bonté bande de batard haha",NO
NonSexiste,0.20032968,Une sorte de Ségolène Royal au masculin. Ou quand sexisme et racisme sont invoqués commodément pour éviter d’avoir à répondre à la moindre critique. https://twitter.com/sonia_devillers/status/954289036226629632,YES
NonSexiste,0.009675868,Emmanuel Macron tente de relancer ses projets européens face à Angela Merkel http://bit.ly/2JV1iZc,NO
Sexiste,0.4013387,"3. Indifférenciation de la tenue. La femme s’habille comme un homme , le bourgeois comme un prolétaire , le p.d.-g. comme son employé , le bobo comme un clodo. Les jeunes filles de bonne famille mettent des bottes et des mini-jupes comme les putains...",NO
NonSexiste,0.032391842,... plus claires et ouvertes et je suis plus « agréable » pour debattre du génocide au Yemen ou encore du mouvement #MoiAussi.,NO
NonSexiste,0.09741997,La journaliste Sandra Muller @LettreAudio est visée par une plainte de l'homme qu'elle avait dénoncé en lançant son hashtag #BalanceTonPorc https://www.francetvinfo.fr/societe/harcelement-sexuel/la-creatrice-de-balancetonporc-poursuivie-en-diffamation-lance-une-levee-de-fond-pour-financer-sa-defense_2571429.html,NO
Sexiste-reportage,0.008670582,"#OprahWinfrey a certainement un agenda de communication, mais aujourd'hui peu nous importe, son discours était très inspirant. Et cela fait du bien. #sororité #MoiAussi https://www.youtube.com/watch?v=U2m9Q0O2zIs",NO
NonSexiste,0.006722843,Le Réseau des Conseil régionaux de la culture du Québec (RCRCQ) parmi les signataires d'une déclaration pour un environnement de travail exempt de harcèlement. http://bit.ly/2CiMyyZ #Moiaussi,NO
Sexiste-reportage,0.2763787,"Gars «viril» au comportement manifestement #sexiste. Pas un cas isolé chez les #insoumis. Qu'allez-vous faire là-dedans, @charligarotte ? https://twitter.com/khtulu44/status/895630071444234240",YES
NonSexiste,0.009236055,Ouverture Colloque #EnsembleContreLeSexisme par@CatLadousse @InterElles 22 associations réunies pour la 1ère fois pic.twitter.com/fY0SEa0mPC,NO
Sexiste,0.5779532,J’explique à une conne quelle est conne ça me dit que je fais de l’harcèlement,NO
NonSexiste,0.05750068,#showgirls sur Arte soirée spéciale #balancetonporc,NO
Sexiste-reportage,0.05205809,Ah bon ? Une femme n'a pas le droit d'être enceinte ?,YES
Sexiste-reportage,0.07054565,Sexisme ordinaire à l'Assemblée: «Les femmes politiques sont souvent invisibilisées» http://bit.ly/2n9RdgA pic.twitter.com/6RIA9vwCxA,NO
NonSexiste,0.024613906,« Si nous ne faisons rien sur des sujets tels que le glyphosate demain c’est nous que l’on viendra chercher. Nous prenons nos responsabilités » #sia2018 @LCI pic.twitter.com/qOCBsTfsvL,NO
Sexiste-reportage,0.17111848,Un tir de femme enceinte ptdrrrr #Quotidien,NO
NonSexiste,0.32557452,"« Les prédateurs sexuels ont droit à l’oubli donc à la récidive » : le niveau de démagogie de Laurent Wauquiez n’est-il pas explosé 1000 fois par Ségolène Royal, @AlainDuhamel ? https://twitter.com/royalsegolene/status/991930793810452480",NO
NonSexiste,0.045873325,Actualités du numérique - Genrimages http://pearltrees.com/p/ZXAGq #Sexisme via @pearltrees,NO
